ID;PDS;KRIT_NR;AUSPRAEGUNG;LL_UG_NR;AUSPR2;RTS_TYP1;ANZ_S;ANZ_UG;filter_$
140031544;1666438;1204;E25030;;ETM_NR;1;38;8;1
140031545;1666438;1204;E25030;;ETM_NR;3;38;12;1
140031546;1666438;1204;E25030;;ETM_NR;4;38;17;1
140031547;1666438;1204;E25040;;ETM_NR;;38;38;1
140031548;1666438;1204;E25040;;ETM_NR;1;38;1;1
140031549;1666438;1204;E25040;;ETM_NR;3;38;3;1
140031550;1666438;1204;E25040;;ETM_NR;4;38;34;1
140031551;1666438;1204;E25050;;ETM_NR;;38;38;1
140031552;1666438;1204;E25050;;ETM_NR;1;38;2;1
140031553;1666438;1204;E25050;;ETM_NR;3;38;4;1
140031554;1666438;1204;E25050;;ETM_NR;4;38;32;1
140031555;1666438;1204;E25060;;ETM_NR;;38;38;1
140031556;1666438;1204;E25060;;ETM_NR;0;38;23;1
140031557;1666438;1204;E25060;;ETM_NR;1;38;2;1
140031558;1666438;1204;E25060;;ETM_NR;4;38;13;1
140031559;1666438;1204;E25070;;ETM_NR;;38;38;1
140031560;1666438;1204;E25070;;ETM_NR;0;38;12;1
140031561;1666438;1204;E25070;;ETM_NR;3;38;2;1
140031562;1666438;1204;E25070;;ETM_NR;4;38;24;1
140031563;1666438;1204;E25080;;ETM_NR;;38;38;1
140031564;1666438;1204;E25080;;ETM_NR;0;38;38;1
140031565;1666438;1204;E25090;;ETM_NR;;38;38;1
140031566;1666438;1204;E25090;;ETM_NR;0;38;2;1
140031567;1666438;1204;E25090;;ETM_NR;1;38;1;1
140031568;1666438;1204;E25090;;ETM_NR;3;38;12;1
140031569;1666438;1204;E25090;;ETM_NR;4;38;23;1
140031570;1666438;1204;E25100;;ETM_NR;;38;38;1
140031571;1666438;1204;E25100;;ETM_NR;0;38;38;1
